Date,Close,Changes,ChangesRatio,Open,High,Low,Volume,Amount,Marcap
2016/05/31,"1,983.40",16.27,0.83,"1,962.47","1,984.18","1,958.16","657,045","8,612,420,660,594","1,255,356,335,024,149"
2016/06/01,"1,982.72",-0.68,-0.03,"1,976.87","1,986.76","1,975.82","502,290","5,383,974,511,224","1,255,999,301,581,078"
2016/06/02,"1,985.11",2.39,0.12,"1,983.86","1,988.00","1,978.82","474,228","5,400,504,687,342","1,257,911,512,069,683"
2016/06/03,"1,985.84",0.73,0.04,"1,991.58","1,991.58","1,979.66","540,859","5,497,341,357,317","1,258,220,250,300,847"
2016/06/07,"2,011.63",25.79,1.3,"1,993.08","2,011.67","1,992.77","481,348","5,541,394,777,207","1,274,446,268,204,230"
2016/06/08,"2,027.08",15.45,0.77,"2,013.72","2,027.09","2,008.59","497,935","5,845,815,406,532","1,283,948,012,910,549"
2016/06/09,"2,024.17",-2.91,-0.14,"2,028.02","2,035.27","2,012.14","599,681","7,955,010,799,684","1,282,125,841,820,936"
2016/06/10,"2,017.63",-6.54,-0.32,"2,022.77","2,022.77","2,014.15","404,303","4,777,125,445,819","1,278,075,773,664,021"
2016/06/13,"1,979.06",-38.57,-1.91,"2,001.03","2,001.79","1,976.69","443,002","4,679,938,063,559","1,253,317,433,719,157"
2016/06/14,"1,972.03",-7.03,-0.36,"1,976.80","1,982.32","1,965.34","439,937","5,009,885,082,598","1,249,481,895,255,852"
2016/06/15,"1,968.83",-3.2,-0.16,"1,972.00","1,975.87","1,960.97","376,769","4,694,853,745,540","1,247,663,847,952,065"
2016/06/16,"1,951.99",-16.84,-0.86,"1,971.53","1,974.01","1,944.80","438,794","4,452,385,690,780","1,237,245,629,956,857"
2016/06/17,"1,953.40",1.41,0.07,"1,966.23","1,970.54","1,949.60","485,269","4,488,888,055,101","1,238,327,356,370,601"
2016/06/20,"1,981.12",27.72,1.42,"1,974.43","1,984.07","1,969.56","391,345","4,045,044,257,527","1,255,559,309,195,996"
2016/06/21,"1,982.70",1.58,0.08,"1,977.80","1,983.87","1,971.99","557,437","4,514,571,223,638","1,256,919,868,733,404"
2016/06/22,"1,992.58",9.88,0.5,"1,981.78","1,994.76","1,979.37","407,435","4,136,231,784,197","1,263,208,699,984,906"
2016/06/23,"1,986.71",-5.87,-0.29,"1,989.42","1,990.71","1,980.14","455,390","4,220,797,540,743","1,259,087,310,303,523"
2016/06/24,"1,925.24",-61.47,-3.09,"2,001.55","2,001.55","1,892.75","750,546","8,724,510,462,271","1,221,280,861,915,368"
2016/06/27,"1,926.85",1.61,0.08,"1,901.85","1,926.87","1,900.83","394,266","5,175,625,706,035","1,222,271,045,645,702"
2016/06/28,"1,936.22",9.37,0.49,"1,907.71","1,937.99","1,907.49","373,459","4,452,632,371,103","1,227,810,137,092,931"
2016/06/29,"1,956.36",20.14,1.04,"1,946.31","1,966.21","1,941.90","451,186","4,865,379,934,699","1,240,335,078,955,904"
