,코드,종목명
962,046140,SBS콘텐츠허브
963,011690,유양디앤유
964,052790,액토즈소프트
965,072470,우리산업홀딩스
966,017180,명문제약
967,242040,나무기술
968,034590,인천도시가스
969,048870,시너지이노베이션
970,149950,아바텍
971,079960,동양이엔피
972,034940,조아제약
973,089890,코세스
974,001570,금양
975,007210,벽산
976,067830,세이브존I&C
977,065510,휴비츠
978,007680,대원
979,069510,에스텍
980,137950,제이씨케미칼
981,017900,광전자
982,060590,씨티씨바이오
983,033830,티비씨
984,038880,아이에이
985,115160,휴맥스
986,144620,코오롱머티리얼
987,142760,바이오리더스
988,099220,SDN
989,066590,우수AMS
990,035080,인터파크홀딩스
991,040420,정상제이엘에스
992,093920,서원인텍
993,043200,파루
994,092220,KEC
995,211270,AP위성
996,069110,코스온
997,100090,삼강엠앤티
998,009470,삼화전기
999,012800,대창
1000,071460,위니아딤채
1001,179290,엠아이텍
1002,035610,솔본
1003,027710,팜스토리
1004,023000,삼원강재
1005,002360,SH에너지화학
1006,094170,동운아나텍
1007,101140,비티원
1008,118000,우리들휴브레인
1009,052670,제일바이오
1010,078000,텔코웨어
1011,217480,에스디생명공학
1012,054800,아이디스홀딩스
1013,066620,국보디자인
1014,083640,인콘
1015,068790,DMS
1016,256940,케이피에스
1017,322510,제이엘케이인스펙션
1018,053300,한국정보인증
1019,003830,대한화섬
1020,092440,기신정기
1021,002720,국제약품
1022,056360,코위버
1023,225190,삼양옵틱스
1024,256840,한국비엔씨
1025,200470,하이셈
1026,014990,인디에프
1027,138610,나이벡
1028,053350,이니텍
1029,038060,루멘스
1030,007540,샘표
1031,025620,제이준코스메틱
1032,060900,케이알피앤이
1033,054210,이랜텍
1034,117670,알파홀딩스
1035,267290,경동도시가스
1036,100220,비상교육
1037,060560,홈센타홀딩스
1038,009200,무림페이퍼
1039,065150,MP그룹
1040,195990,에이비프로바이오
1041,036670,KCI
1042,120240,대정화금
1043,099750,이지케어텍
1044,103590,일진전기
1045,226340,본느
1046,311690,천랩
1047,145210,세화아이엠씨
1048,111110,호전실업
1049,069920,아이에스이커머스
1050,241790,오션브릿지
1051,064290,인텍플러스
1052,005710,대원산업
1053,290120,대유에이피
1054,038680,에스넷
1055,051380,피씨디렉트
1056,067570,엔브이에이치코리아
1057,303030,지니틱스
1058,015710,코콤
1059,019440,세아특수강
1060,010960,삼호개발
1061,173940,에프엔씨엔터
1062,153710,옵티팜
1063,290550,디케이티
1064,014580,백광소재
1065,091340,S&K폴리텍
1066,011370,서한
1067,051160,지어소프트
1068,092070,디엔에프
1069,130660,한전산업
1070,033110,코너스톤네트웍스
1071,000230,일동홀딩스
1072,049520,유아이엘
1073,001070,대한방직
1074,133750,메가엠디
1075,264900,크라운제과
1076,014100,메디앙스
1077,018310,삼목에스폼
1078,263770,유에스티
1079,080220,제주반도체
1080,090740,연이정보통신
1081,013870,지엠비코리아
1082,065650,메디프론
1083,214330,금호에이치티
1084,187420,제노포커스
1085,137940,넥스트아이
1086,109610,에스와이
1087,004270,남성
1088,120030,조선선재
1089,158430,아톤
1090,091580,상신이디피
1091,014790,한라
1092,012200,계양전기
1093,083930,아바코
1094,066980,브레인콘텐츠
1095,010690,화신
1096,078890,가온미디어
1097,004870,티웨이홀딩스
1098,084650,랩지노믹스
1099,053280,예스24
1100,000180,성창기업지주
1101,009440,KC그린홀딩스
1102,064800,필링크
1103,003100,선광
1104,139670,키네마스터
1105,093190,빅솔론
1106,290380,대유
1107,134380,미원화학
1108,263700,케어랩스
1109,056080,유진로봇
1110,114450,KPX생명과학
1111,036260,이매진아시아
1112,009300,삼아제약
1113,080720,한국유니온제약
1114,193250,와이제이엠게임즈
1115,033530,세종공업
1116,055490,테이팩스
1117,031820,콤텍시스템
1118,034300,신세계건설
1119,049480,오픈베이스
1120,017550,수산중공업
1121,022220,정산애강
1122,033320,제이씨현시스템
1123,023450,동남합성
1124,032850,비트컴퓨터
1125,007860,서연
1126,003160,디아이
1127,010820,퍼스텍
1128,131400,액트
1129,065170,넥스트BT
1130,210540,디와이파워
1131,035000,지투알
1132,020710,시공테크
1133,107590,미원홀딩스
1134,036120,SCI평가정보
1135,005110,한창
1136,142280,녹십자엠에스
1137,250930,예선테크
1138,025560,미래산업
1139,083500,에프엔에스테크
1140,263690,디알젬
1141,071280,로체시스템즈
1142,010600,웰바이오텍
1143,039340,한국경제TV
1144,004840,DRB동일
1145,066130,하츠
1146,002880,대유에이텍
1147,053450,세코닉스
1148,185490,아이진
1149,002800,신신제약
1150,014200,광림
1151,045890,GV
1152,241840,에이스토리
1153,034810,해성산업
1154,006980,우성사료
1155,253840,수젠텍
1156,225330,씨엠에스에듀
1157,032560,황금에스티
1158,047400,유니온머티리얼
1159,060370,KT서브마린
1160,069540,라이트론
1161,101240,씨큐브
1162,058730,다스코
1163,086040,바이오톡스텍
1164,267790,배럴
1165,086960,한컴MDS
1166,000650,천일고속
1167,227840,현대코퍼레이션홀딩스
1168,299910,베스파
1169,238200,비피도
1170,006580,대양제지
1171,002070,남영비비안
1172,004450,삼화왕관
1173,047770,코데즈컴바인
1174,017650,대림제지
1175,016090,대현
1176,215380,우정바이오
1177,078940,코드네이처
1178,014570,고려제약
1179,001260,남광토건
1180,053690,한미글로벌
1181,007590,동방아그로
1182,101330,모베이스
1183,017040,광명전기
1184,037330,인지디스플레
1185,004080,신흥
1186,195500,마니커에프앤지
1187,016880,웅진
1188,257370,명성티엔에스
1189,221840,하이즈항공
1190,065560,녹원씨엔아이
1191,126880,제이엔케이히터
1192,089230,THE E&M
1193,079190,EMW
1194,013310,아진산업
1195,001470,삼부토건
1196,006910,보성파워텍
1197,026150,특수건설
1198,005190,동성화학
1199,041460,한국전자인증
1200,214680,디알텍
1201,131100,알이피
1202,006050,국영지앤엠
1203,097800,윈팩
1204,115440,우리넷
1205,194480,데브시스터즈
1206,008600,윌비스
